Date,Channel,Campaign,Objective,Ad name,Creative Size,Spend,Impressions,Clicks,Video Views,Video Completions,Online Order,Online Order Revenue,Reservations,Content Views,Add To Carts,Page Views
2024-12-30,Google,Holiday Sale 2024,Conversions,Holiday Ad 1,1920x1080,1200,45000,890,0,0,45,3150,12,0,120,450
2024-12-30,Meta,Holiday Sale 2024,Conversions,Holiday Ad 2,1080x1080,1500,62000,1250,15000,12000,58,4060,18,2500,150,780
2024-12-30,TikTok,Holiday Sale 2024,Video Views,Holiday Ad 3,1080x1920,800,38000,720,28000,22000,28,1960,8,1200,85,320
2024-12-31,Google,Holiday Sale 2024,Conversions,Holiday Ad 1,1920x1080,1300,48000,920,0,0,48,3360,14,0,128,480
2024-12-31,Meta,Holiday Sale 2024,Conversions,Holiday Ad 2,1080x1080,1600,65000,1300,16000,13000,62,4340,20,2600,158,820
2024-12-31,TikTok,Holiday Sale 2024,Video Views,Holiday Ad 3,1080x1920,850,40000,750,29000,23000,30,2100,9,1250,90,340
2025-01-01,Google,New Year Campaign,Conversions,New Year Ad 1,1920x1080,900,32000,650,0,0,32,2240,9,0,95,350
2025-01-01,Meta,New Year Campaign,Conversions,New Year Ad 2,1080x1080,1100,45000,920,11000,9000,42,2940,14,1800,108,580
2025-01-01,TikTok,New Year Campaign,Video Views,New Year Ad 3,1080x1920,600,28000,540,20000,16000,22,1540,6,900,65,240
2025-01-02,Google,New Year Campaign,Conversions,New Year Ad 1,1920x1080,950,34000,680,0,0,35,2450,10,0,102,370
2025-01-02,Meta,New Year Campaign,Conversions,New Year Ad 2,1080x1080,1150,47000,960,12000,9500,45,3150,15,1900,115,610
2025-01-02,TikTok,New Year Campaign,Video Views,New Year Ad 3,1080x1920,650,30000,580,21000,17000,24,1680,7,950,70,260
2025-01-03,Google,New Year Campaign,Conversions,New Year Ad 4,1920x1080,1000,36000,720,0,0,38,2660,11,0,110,390
2025-01-03,Meta,New Year Campaign,Conversions,New Year Ad 5,1080x1080,1200,50000,1000,13000,10500,48,3360,16,2000,122,640
2025-01-03,TikTok,New Year Campaign,Video Views,New Year Ad 6,1080x1920,700,32000,620,22000,18000,26,1820,8,1000,75,280
2025-01-06,Google,Winter Promo,Conversions,Winter Ad 1,1920x1080,1400,52000,1050,0,0,52,3640,16,0,145,520
2025-01-06,Meta,Winter Promo,Conversions,Winter Ad 2,1080x1080,1700,70000,1400,18000,14500,68,4760,22,2800,175,880
2025-01-06,TikTok,Winter Promo,Video Views,Winter Ad 3,1080x1920,900,42000,820,31000,25000,35,2450,11,1400,95,360
2025-01-06,Programmatic,Winter Promo,Awareness,Display Banner 1,728x90,500,85000,420,0,0,18,1260,5,0,52,1200
2025-01-07,Google,Winter Promo,Conversions,Winter Ad 1,1920x1080,1450,54000,1080,0,0,55,3850,17,0,150,540
2025-01-07,Meta,Winter Promo,Conversions,Winter Ad 2,1080x1080,1750,72000,1450,19000,15000,72,5040,24,2900,182,910
2025-01-07,TikTok,Winter Promo,Video Views,Winter Ad 3,1080x1920,950,44000,860,32000,26000,38,2660,12,1450,98,380
2025-01-07,Programmatic,Winter Promo,Awareness,Display Banner 1,728x90,550,90000,450,0,0,20,1400,6,0,58,1250
